provider,country,count,provider_category,classification_source
National Library of Spain,spain,664410,library/archive,provider_name
Galiciana: Digital Library of Galicia,spain,336061,library/archive,provider_name
Digital Memory of Catalonia,spain,286512,library/archive,manual_override
Galiciana. Arquivo Dixital de Galicia,spain,234326,library/archive,provider_name
Archive of Old Catalan Magazines,spain,229974,library/archive,provider_name
Ajuntament de Girona,spain,208078,government/administrative body,provider_name
Digital Library of Andalusia,spain,145620,library/archive,provider_name
Maresía: Prensa digitalizada y Patrimonio documental,spain,141919,library/archive,manual_override
Canary Islands Historical Photography Archive,spain,121890,library/archive,provider_name
Complutense University of Madrid,spain,121238,academic/research institution,provider_name
Digital Library of Castilla y León,spain,119704,library/archive,provider_name
Library of the University of Las Palmas,spain,115458,library/archive,provider_name
Cityhall of Murcia. Municipal Archive,spain,104650,library/archive,provider_name
Centro de Estudios de Castilla - La Mancha,spain,94223,academic/research institution,manual_override
TV3 Catalan Television,spain,89148,media/broadcast organization,provider_name
Documentary Repository of the University of Salamanca,spain,86467,library/archive,provider_name
Royal Botanic Garden of Madrid,spain,74638,natural history/science institution,provider_name
Foundation Virtual Library Miguel de Cervantes,spain,70971,library/archive,provider_name
Digital Library of Madrid,spain,69472,library/archive,provider_name
The Government of Catalonia,spain,66231,government/administrative body,provider_name
National Archaeological Museum,spain,62006,art/history museum,provider_name
Cartographic and Geological Institute of Catalonia,spain,60774,government/administrative body,wikidata_sparql_fallback
Polytechnic University of Valencia,spain,55663,academic/research institution,provider_name
Spanish National Research Council,spain,54947,academic/research institution,provider_name
Image and Sound Archive of Menorca,spain,52640,library/archive,provider_name
Regira. Cooperative Repository of Diputació de Girona,spain,51534,library/archive,provider_name
Postal Cabinet Museum of Barcelona (Marull’s Collection),spain,49300,art/history museum,provider_name
Biblioteca Diputación de Almería,spain,47192,library/archive,provider_name
Tomás Navarro Tomás Library,spain,38509,library/archive,provider_name
Museum of Costume. Ethnological Heritage Research Centre,spain,35754,art/history museum,provider_name
Patrimonio Digital de Castilla-La Mancha,spain,32589,library/archive,manual_override
Toledo Municipal Archives,spain,32360,library/archive,provider_name
Virtual Library of Bibliographical Heritage,spain,31208,library/archive,provider_name
Autonomous University of Barcelona,spain,29038,academic/research institution,provider_name
Andalusian Performing Arts Research and Resource Center,spain,28062,academic/research institution,provider_name
Library of the Bar Association of Madrid,spain,27660,library/archive,provider_name
Library of Asturias,spain,25427,library/archive,provider_name
Repositorio Institucional del Banco de España,spain,23655,library/archive,provider_name
Digital Library Real Academia de la Historia,spain,23616,library/archive,provider_name
Virtual Library of La Rioja,spain,22978,library/archive,provider_name
Image Archive of Castilla La Mancha,spain,21534,library/archive,provider_name
Sorolla Museum,spain,20263,art/history museum,provider_name
Polytechnic University of Catalonia,spain,19927,academic/research institution,provider_name
Valencian Digital Library,spain,19090,library/archive,provider_name
UdG Digital Repository,spain,18684,library/archive,provider_name
Natural Science Museum of Barcelona,spain,18502,natural history/science institution,provider_name
