provider,country,count,provider_category,classification_source
Portuguese Army Library,Portugal,13120,library/archive,provider_name
Azores Regional Directorate for Culture,Portugal,5913,government/administrative body,manual_override
University of Porto,Portugal,5111,academic/research institution,provider_name
Calouste Gulbenkian Foundation,Portugal,3415,art/history museum,manual_override
MUDE – Museu do Design,Portugal,1927,art/history museum,provider_name
Assembly of the Republic - Library,Portugal,1663,library/archive,provider_name
Fernando Pessoa's House,Portugal,1210,art/history museum,manual_override
University of Coimbra,Portugal,1155,academic/research institution,provider_name
Lisbon's Film & Theatre School,Portugal,774,academic/research institution,manual_override
Madeira Archives and Library,Portugal,685,library/archive,provider_name
Cinemateca Portuguesa - Museu do cinema,Portugal,654,audiovisual/film archive,provider_name
Radio and Television of Portugal,Portugal,504,media/broadcast organization,provider_name
Madeira Arts Library,Portugal,470,library/archive,provider_name
Lisbon Newspaper Library,Portugal,468,library/archive,provider_name
April 25th Documentation Center of Coimbra University,Portugal,337,academic/research institution,provider_name
The Commission for Citizenship and Gender Equality,Portugal,311,government/administrative body,manual_override
Division of Archives and Library of the Ministry of Foreign Affairs,Portugal,158,library/archive,provider_name
Portuguese Court of Auditors,Portugal,119,government/administrative body,provider_name
PÉDEXUMBO - Associação para a Promoção da Música e Dança,Portugal,91,other,manual_override
Library of the National Republican Guard,Portugal,70,library/archive,provider_name
Douro Museum,Portugal,51,art/history museum,provider_name
The Romanesque Rout,Portugal,50,other,manual_override
Municipal Public Library of Porto,Portugal,47,library/archive,provider_name
Open University - Portugal,Portugal,35,academic/research institution,provider_name
Seminar on the History of Ideas,Portugal,34,other,manual_override
Assembleia da República - Arquivo Histórico Parlamentar,Portugal,15,library/archive,provider_name
Supreme Court of Justice,Portugal,6,government/administrative body,provider_name
National Museum of Ancient Art,Portugal,2,art/history museum,provider_name
"National Archives Torre do Tombo, Lisbon",Portugal,2,library/archive,provider_name
Montalegre Municipal Library,Portugal,2,library/archive,provider_name
Sarmento's House,Portugal,1,other,manual_override
"Ajuda Library, Lisbon",Portugal,1,library/archive,provider_name
"National Museum of Grao Vasco, Viseu",Portugal,1,art/history museum,provider_name
National Coach Museum,Portugal,1,art/history museum,provider_name
Museums and Monuments of Portugal,Portugal,1,art/history museum,manual_override
"Church of S. Roque, Lisbon",Portugal,1,other,manual_override
Chiado Museum - National Museum of Contemporary Art,Portugal,1,art/history museum,provider_name
"Municipal Library Anselmo Braamcamp Freire, Santarém",Portugal,1,library/archive,provider_name
Virtual Library of Historical Press,Spain,1735320,library/archive,provider_name
National Library of Spain,Spain,664410,library/archive,provider_name
Galiciana: Digital Library of Galicia,Spain,570387,library/archive,provider_name
Digital Memory of Catalonia,Spain,286512,library/archive,manual_override
Archive of Old Catalan Magazines,Spain,229974,library/archive,provider_name
Ajuntament de Girona,Spain,208078,government/administrative body,provider_name
Digital Library of Andalusia,Spain,145620,library/archive,provider_name
Maresía: Prensa digitalizada y Patrimonio documental,Spain,141919,library/archive,manual_override
Canary Islands Historical Photography Archive,Spain,121890,library/archive,provider_name
Complutense University of Madrid,Spain,121238,academic/research institution,provider_name
Digital Library of Castilla y León,Spain,119704,library/archive,provider_name
Library of the University of Las Palmas,Spain,115458,library/archive,provider_name
Cityhall of Murcia. Municipal Archive,Spain,104650,library/archive,provider_name
Centro de Estudios de Castilla - La Mancha,Spain,94223,academic/research institution,manual_override
TV3 Catalan Television,Spain,89148,media/broadcast organization,provider_name
Documentary Repository of the University of Salamanca,Spain,86467,library/archive,provider_name
Royal Botanic Garden of Madrid,Spain,74638,natural history/science institution,provider_name
Foundation Virtual Library Miguel de Cervantes,Spain,70971,library/archive,provider_name
Digital Library of Madrid,Spain,69472,library/archive,provider_name
The Government of Catalonia,Spain,66231,government/administrative body,provider_name
National Archaeological Museum,Spain,62006,art/history museum,provider_name
Cartographic and Geological Institute of Catalonia,Spain,60774,government/administrative body,wikidata_sparql_fallback
